Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app net.daum.android.map
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 23840
Event count: 30844851019

Overhead  Shared Object
47.04%    unknown
30.27%    /system/lib64/libhwui.so
4.96%     /vendor/lib64/egl/libGLESv2_adreno.so
4.84%     [kernel.kallsyms]
4.26%     /apex/com.android.art/lib64/libart.so
2.61%     /system/framework/arm64/boot-framework.oat
1.84%     /apex/com.android.runtime/lib64/bionic/libc.so
1.29%     /apex/com.android.art/javalib/arm64/boot.oat
0.37%     /system/lib64/libminikin.so
0.36%     /system/lib64/libandroidfw.so
0.32%     /apex/com.android.art/lib64/libprofile.so
0.29%     /system/lib64/libbinder.so
0.25%     /system/lib64/libgui.so
0.18%     /system/lib64/libc++.so
0.13%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.10%     /apex/com.android.art/lib64/libicuuc.so
0.10%     /system/lib64/libutils.so
0.09%     /system/lib64/libui.so
0.06%     /data/app/~~a4PkfT9N1q13WNf_vDnryw==/net.daum.android.map-CNveC3uDoBLChKlpOAGXkw==/lib/arm64/libK3fAndroid.so
0.06%     /system/lib64/libandroid_runtime.so
0.06%     /system/lib64/libsqlite.so
0.06%     /vendor/lib64/libgsl.so
0.05%     /apex/com.android.art/javalib/arm64/boot-core-libart.oat
0.04%     /apex/com.android.art/javalib/arm64/boot-core-icu4j.oat
0.04%     /apex/com.android.art/lib64/libart-compiler.so
0.04%     /system/lib64/libGLESv2.so
0.03%     /vendor/lib64/egl/libEGL_adreno.so
0.03%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.03%     /apex/com.android.conscrypt/lib64/libssl.so
0.03%     /system/lib64/libEGL.so
0.02%     /apex/com.android.art/lib64/libandroidicu.so
0.02%     /apex/com.android.art/lib64/libartbase.so
0.01%     /system/lib64/libcutils.so
0.01%     /apex/com.android.runtime/lib64/bionic/libm.so
0.01%     /apex/com.android.art/lib64/libjavacore.so
0.01%     /apex/com.android.art/lib64/libicui18n.so
0.01%     /apex/com.android.art/lib64/libdexfile.so
0.01%     /system/lib64/libnativewindow.so
0.01%     /system/lib64/libsync.so
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /vendor/lib64/hw/gralloc.sdm845.so
0.01%     /system/lib64/libartpalette-system.so
0.01%     /system/lib64/liblog.so
0.01%     /data/app/~~a4PkfT9N1q13WNf_vDnryw==/net.daum.android.map-CNveC3uDoBLChKlpOAGXkw==/lib/arm64/librealm-jni.so
0.01%     /vendor/lib/modules/wlan.ko
0.01%     /apex/com.android.art/lib64/libnativehelper.so
0.00%     /apex/com.android.runtime/bin/linker64
0.00%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.00%     /vendor/lib64/libgralloccore.so
0.00%     /apex/com.android.art/lib64/libartpalette.so
0.00%     /apex/com.android.art/javalib/arm64/boot-okhttp.oat
0.00%     /system/lib64/libbase.so
0.00%     /apex/com.android.art/lib64/libopenjdk.so
0.00%     /product/app/webview/webview.apk
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /system/lib64/libz.so
0.00%     /system/lib64/libmedia.so
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/app/~~a4PkfT9N1q13WNf_vDnryw==/net.daum.android.map-CNveC3uDoBLChKlpOAGXkw==/oat/arm64/base.odex
0.00%     /apex/com.android.vndk.v30/lib64/libcutils.so
0.00%     /vendor/lib64/libadreno_utils.so
